epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1309.78,0.73599,0.5187,1.07546,0.95325,0.94342,0.97978,0.81766,0.65467,0.49666,1.04549,0.000990365,0.000990365,0.000990365
43,1340.81,0.74203,0.51988,1.082,0.94713,0.94268,0.97726,0.82474,0.62709,0.47785,1.04994,0.000973861,0.000973861,0.000973861
44,1379.37,0.72619,0.50269,1.07116,0.95539,0.94193,0.98275,0.839,0.61849,0.44879,1.01038,0.000957358,0.000957358,0.000957358
45,1427.24,0.73298,0.49372,1.06716,0.96508,0.93951,0.98062,0.82138,0.61765,0.46149,1.00998,0.000940855,0.000940855,0.000940855
46,1461.58,0.71295,0.48328,1.05607,0.94277,0.95423,0.98074,0.82837,0.62116,0.46013,1.02171,0.000924352,0.000924352,0.000924352
47,1492.78,0.70291,0.48758,1.06483,0.96547,0.93779,0.98032,0.84369,0.58124,0.44567,1.00368,0.000907848,0.000907848,0.000907848
48,1523.47,0.70428,0.47322,1.04432,0.97178,0.94463,0.98176,0.83301,0.61334,0.4524,1.02422,0.000891345,0.000891345,0.000891345
49,1553.6,0.71534,0.48065,1.06621,0.96298,0.93708,0.97969,0.85751,0.55606,0.44435,0.99194,0.000874842,0.000874842,0.000874842
50,1585,0.69678,0.47484,1.05147,0.94574,0.94397,0.97751,0.84287,0.5869,0.4501,1.00979,0.000858338,0.000858338,0.000858338
51,1615.48,0.69307,0.47079,1.05496,0.95905,0.95828,0.98345,0.84853,0.57514,0.42807,0.99571,0.000841835,0.000841835,0.000841835
52,1646.07,0.67269,0.45634,1.02775,0.97482,0.93608,0.98551,0.85121,0.56033,0.43984,0.98766,0.000825332,0.000825332,0.000825332
53,1676.82,0.67606,0.46521,1.03861,0.96933,0.92879,0.9797,0.852,0.56556,0.44326,0.98465,0.000808828,0.000808828,0.000808828
54,1706.71,0.65615,0.45335,1.02295,0.95761,0.95577,0.98289,0.85338,0.56946,0.41613,0.97675,0.000792325,0.000792325,0.000792325
55,1737.63,0.67703,0.45067,1.0339,0.96582,0.94305,0.98381,0.85244,0.5675,0.43611,0.98264,0.000775822,0.000775822,0.000775822
56,1768.41,0.65666,0.44593,1.02654,0.97838,0.93951,0.98211,0.84837,0.58633,0.42526,0.99009,0.000759318,0.000759318,0.000759318
57,1798.57,0.65704,0.44299,1.0205,0.96632,0.94441,0.98002,0.85108,0.56532,0.4289,0.98273,0.000742815,0.000742815,0.000742815
58,1829.53,0.66466,0.45184,1.03131,0.95347,0.9565,0.98436,0.85059,0.57479,0.41617,0.97666,0.000726312,0.000726312,0.000726312
59,1859.72,0.64933,0.4374,1.01617,0.97004,0.95377,0.98417,0.85884,0.55215,0.41489,0.97046,0.000709809,0.000709809,0.000709809
60,1889.74,0.64217,0.43223,1.01769,0.96362,0.94193,0.9785,0.85893,0.55709,0.40913,0.97726,0.000693305,0.000693305,0.000693305
61,1920.81,0.63689,0.43133,1.00546,0.95428,0.9662,0.98333,0.86455,0.53446,0.40204,0.96523,0.000676802,0.000676802,0.000676802
62,1951.05,0.63388,0.44031,1.00658,0.95541,0.95075,0.98148,0.86191,0.53332,0.40264,0.95885,0.000660299,0.000660299,0.000660299
63,1982.17,0.62528,0.41895,1.01396,0.96981,0.96378,0.98608,0.86711,0.53758,0.40142,0.96897,0.000643795,0.000643795,0.000643795
64,2013.34,0.60992,0.4076,0.99306,0.95183,0.94921,0.98212,0.85659,0.55314,0.3968,0.97303,0.000627292,0.000627292,0.000627292
65,2043.72,0.63397,0.43166,1.02207,0.97696,0.95674,0.98524,0.86541,0.53066,0.3811,0.95328,0.000610789,0.000610789,0.000610789
66,2075.07,0.62406,0.42603,1.01183,0.96212,0.92982,0.98325,0.86702,0.55824,0.40293,0.97334,0.000594286,0.000594286,0.000594286
67,2105.81,0.61833,0.41851,1.00689,0.97565,0.95164,0.98631,0.87156,0.5338,0.39088,0.9561,0.000577782,0.000577782,0.000577782
68,2136.31,0.61151,0.41946,1.00088,0.95448,0.95552,0.98323,0.86747,0.5398,0.39609,0.95638,0.000561279,0.000561279,0.000561279
69,2167.51,0.61034,0.41778,0.99981,0.96336,0.95576,0.98786,0.87171,0.51472,0.38863,0.94778,0.000544776,0.000544776,0.000544776
70,2197.58,0.60141,0.40979,0.98711,0.97546,0.94892,0.98524,0.87912,0.51109,0.38292,0.94588,0.000528272,0.000528272,0.000528272
71,2228.74,0.59704,0.40202,0.98585,0.97224,0.94436,0.98478,0.86972,0.52211,0.38148,0.95178,0.000511769,0.000511769,0.000511769
72,2259.62,0.59999,0.403,1.0022,0.96972,0.94675,0.98453,0.87995,0.50756,0.38648,0.93958,0.000495266,0.000495266,0.000495266
73,2289.89,0.59023,0.4099,0.97895,0.9767,0.94679,0.98702,0.8772,0.51652,0.37594,0.94973,0.000478762,0.000478762,0.000478762
74,2321.63,0.59297,0.40125,0.98531,0.97734,0.95071,0.98666,0.86808,0.53042,0.38061,0.94957,0.000462259,0.000462259,0.000462259
75,2352.28,0.5982,0.40603,0.99673,0.97157,0.95106,0.9872,0.87647,0.5207,0.37759,0.94528,0.000445756,0.000445756,0.000445756
76,2383.81,0.59055,0.40609,0.99062,0.97895,0.94539,0.98692,0.88261,0.49146,0.37192,0.92962,0.000429253,0.000429253,0.000429253
77,2415.51,0.60222,0.40316,0.99176,0.96563,0.96378,0.98627,0.8804,0.50839,0.38439,0.93579,0.000412749,0.000412749,0.000412749
78,2446,0.59044,0.39214,0.98535,0.97927,0.95164,0.98748,0.88232,0.51151,0.37248,0.93533,0.000396246,0.000396246,0.000396246
79,2477.44,0.57688,0.39198,0.98195,0.9745,0.93889,0.97832,0.86067,0.51924,0.39531,0.94606,0.000379743,0.000379743,0.000379743
80,2507.9,0.57246,0.39281,0.97787,0.97591,0.9474,0.98534,0.87497,0.52675,0.37245,0.94609,0.000363239,0.000363239,0.000363239
81,2538.31,0.57602,0.39215,0.98774,0.96861,0.96281,0.98742,0.87349,0.51575,0.3613,0.95038,0.000346736,0.000346736,0.000346736
82,2569.75,0.56854,0.38831,0.98161,0.97316,0.96191,0.98438,0.87526,0.50508,0.3608,0.93892,0.000330233,0.000330233,0.000330233
83,2600.17,0.56847,0.38013,0.97341,0.97771,0.95967,0.98789,0.87792,0.51819,0.35246,0.94365,0.000313729,0.000313729,0.000313729
84,2630.93,0.55758,0.37775,0.96509,0.97317,0.96476,0.98828,0.87531,0.51304,0.36034,0.94433,0.000297226,0.000297226,0.000297226
85,2662.01,0.55206,0.37252,0.96105,0.96889,0.95953,0.98657,0.88297,0.49636,0.36038,0.93591,0.000280723,0.000280723,0.000280723
86,2692.44,0.5513,0.36684,0.9626,0.96705,0.95892,0.98579,0.88508,0.50236,0.35966,0.93019,0.00026422,0.00026422,0.00026422
87,2723.91,0.55521,0.37483,0.96888,0.97957,0.95472,0.98717,0.88493,0.49648,0.35004,0.93138,0.000247716,0.000247716,0.000247716
88,2754.17,0.53491,0.36868,0.95281,0.96495,0.97496,0.98888,0.88438,0.48741,0.35623,0.92212,0.000231213,0.000231213,0.000231213
89,2784.68,0.54887,0.36885,0.96619,0.97363,0.93951,0.98522,0.87819,0.49013,0.35021,0.92963,0.00021471,0.00021471,0.00021471
90,2815.85,0.53785,0.36466,0.96117,0.95736,0.97264,0.98781,0.89034,0.48041,0.34769,0.92195,0.000198206,0.000198206,0.000198206
91,2847.78,0.45699,0.32556,0.8966,0.95561,0.96248,0.9856,0.87955,0.49058,0.35333,0.9188,0.000181703,0.000181703,0.000181703
92,2878.73,0.45805,0.32277,0.9063,0.95564,0.95755,0.98485,0.88645,0.4792,0.3515,0.91513,0.0001652,0.0001652,0.0001652
93,2908.72,0.44512,0.31197,0.89714,0.96555,0.95024,0.98671,0.88722,0.48704,0.35299,0.92096,0.000148696,0.000148696,0.000148696
94,2938.45,0.43709,0.31202,0.89386,0.97901,0.94899,0.98783,0.88395,0.48926,0.34434,0.91965,0.000132193,0.000132193,0.000132193
95,2969.51,0.44511,0.30985,0.89051,0.97583,0.94921,0.98848,0.88955,0.48192,0.33869,0.91648,0.00011569,0.00011569,0.00011569
96,2999.08,0.43276,0.30833,0.88684,0.95281,0.97106,0.98783,0.89189,0.47853,0.3415,0.91571,9.91865e-05,9.91865e-05,9.91865e-05
97,3029.09,0.42655,0.30021,0.88443,0.97615,0.95244,0.98809,0.89038,0.47905,0.34389,0.91655,8.26832e-05,8.26832e-05,8.26832e-05
98,3059.76,0.4218,0.29853,0.88409,0.9786,0.95013,0.98841,0.89356,0.47217,0.33801,0.91451,6.61799e-05,6.61799e-05,6.61799e-05
99,3089.32,0.42305,0.30072,0.88153,0.9749,0.95035,0.98821,0.8922,0.47425,0.33695,0.91296,4.96766e-05,4.96766e-05,4.96766e-05
100,3119.04,0.41478,0.29795,0.88413,0.972,0.95242,0.98779,0.88947,0.47995,0.33744,0.91773,3.31733e-05,3.31733e-05,3.31733e-05
